"Date","Android","iOS","BlackBerry OS","Windows","Samsung","Other"
2020-01,85.64,14.25,0.01,0.08,0.01,0.01
2020-02,84.74,15.19,0.02,0.05,0.01,0
2020-03,84.66,15.25,0.02,0.03,0.02,0.02
2020-04,87.58,11.91,0.45,0.04,0.01,0.01
2020-05,86.86,11.84,1.16,0.12,0.02,0
2020-06,87.13,12.7,0.03,0.09,0.05,0
2020-07,87.72,12.1,0.04,0.06,0.07,0
2020-08,87.33,12.48,0.01,0.11,0.05,0.01
2020-09,86.18,13.68,0,0.09,0.04,0
2020-10,86.66,13.15,0,0.13,0.05,0.01
2020-11,78.43,21.23,0.01,0.24,0.03,0.06
2020-12,82.77,16.9,0,0.29,0.04,0
