"Date","Android","iOS","Samsung","Windows","Playstation","Other"
2020-01,88.44,11.32,0.12,0.05,0.02,0.05
2020-02,88.9,10.85,0.13,0.05,0.01,0.06
2020-03,88.12,11.63,0.17,0.05,0.01,0.02
2020-04,86.33,13.39,0.19,0.05,0.01,0.03
2020-05,86.22,13.54,0.19,0.01,0.02,0.03
2020-06,86.79,12.93,0.22,0.01,0.03,0.02
2020-07,86.77,13.02,0.17,0.01,0.01,0.02
2020-08,87.32,12.54,0.11,0.01,0.01,0.02
2020-09,87.93,11.91,0.13,0.01,0.01,0.01
2020-10,87.63,12.17,0.16,0.01,0.01,0.02
2020-11,87.9,11.94,0.12,0,0.01,0.02
2020-12,87.35,12.46,0.15,0.02,0.01,0.02
