"Date","iOS","Android","Samsung","Windows","Nokia Unknown","Other"
2020-01,64.63,35.16,0.09,0.07,0.05,0
2020-02,64.3,35.45,0.12,0.09,0.03,0.01
2020-03,65.59,34.17,0.15,0.09,0,0
2020-04,66.72,33.16,0.07,0.02,0.02,0.01
2020-05,67.14,32.69,0.07,0,0.1,0
2020-06,61.83,37.91,0.18,0.01,0.07,0
2020-07,63.02,36.5,0.41,0.02,0.05,0
2020-08,61.33,38.22,0.39,0.02,0.03,0.01
2020-09,60.54,38.92,0.48,0.02,0.03,0.02
2020-10,66.6,33.05,0.32,0.01,0.02,0
2020-11,66.2,33.39,0.37,0.01,0.01,0.02
2020-12,63.69,36.11,0.2,0,0,0
