"Date","Android","iOS","Unknown","Samsung","Windows","Nokia Unknown","KaiOS","Playstation","Firefox OS","Linux","BlackBerry OS","Other"
2020-01,83.05,2.01,14.13,0.22,0.1,0.23,0,0.19,0.01,0.01,0.01,0.03
2020-02,91.66,3.71,4.08,0.01,0.39,0.06,0,0,0.01,0,0.07,0.02
2020-03,95.32,4.09,0.35,0,0.2,0,0,0,0,0,0,0.03
2020-04,93.76,4.93,1.06,0,0.14,0.01,0.01,0,0.01,0.02,0,0.05
2020-05,92.78,5.65,1.38,0.09,0.08,0,0,0,0,0,0,0.02
2020-06,92.1,5.78,1.96,0.04,0.03,0.01,0,0,0,0.04,0,0.04
2020-07,93.5,3.98,2.41,0.02,0.01,0.03,0,0,0,0.01,0.02,0.03
2020-08,93.25,3.7,2.86,0.03,0,0.01,0,0,0.12,0.01,0,0.02
2020-09,93.26,3.73,2.91,0.04,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01
2020-10,90.92,5.49,3.38,0.14,0.03,0.01,0,0,0,0.02,0,0
2020-11,91.4,4.84,3.5,0.16,0.04,0.01,0,0,0,0.02,0.01,0.03
2020-12,94.55,2.44,2.39,0.19,0.04,0.01,0.32,0.03,0.02,0,0,0
