"Date","Android","Unknown","iOS","Samsung","LG","Nokia Unknown","Series 40","Linux","Windows","KaiOS","BlackBerry OS","SymbianOS","Other"
2020-01,55.15,37.87,2.85,2.35,0.72,0.35,0.24,0.17,0.17,0.07,0.01,0.01,0.03
2020-02,72.93,20.37,3.91,1.43,0.46,0.33,0.11,0.16,0.19,0.05,0.01,0.02,0.01
2020-03,93.5,0.47,5.66,0.03,0.01,0.01,0.04,0.01,0.22,0.02,0.02,0.01,0.01
2020-04,90.11,2.68,6.81,0.1,0.06,0.03,0.02,0.02,0.13,0.01,0.01,0,0.01
2020-05,86.89,4.93,7.57,0.22,0.14,0.06,0.05,0.04,0.06,0.02,0.01,0.01,0.01
2020-06,84.47,7.48,7.16,0.32,0.18,0.05,0.15,0.07,0.03,0.06,0.01,0,0.01
2020-07,77.99,14.23,6.44,0.64,0.19,0.16,0.13,0.1,0.05,0.04,0.01,0.01,0.01
2020-08,75.22,16.76,6.19,1.05,0.17,0.18,0.22,0.13,0.02,0.04,0.01,0,0
2020-09,73.29,17.79,6.74,1.23,0.2,0.21,0.17,0.19,0.03,0.12,0.01,0.01,0
2020-10,71.62,18.62,7.89,0.93,0.24,0.34,0.1,0.14,0.03,0.06,0.01,0,0.01
2020-11,64.15,26.98,6.74,1.19,0.18,0.17,0.22,0.21,0.04,0.12,0.01,0,0.01
2020-12,65.77,25.25,6.42,1.34,0.2,0.07,0.41,0.27,0.04,0.16,0.01,0.04,0.02
