"Date","Android","iOS","Samsung","Linux","Windows","BlackBerry OS","Unknown","Other"
2020-01,85.74,13.81,0.21,0.07,0.07,0.05,0.02,0.02
2020-02,86.33,13.16,0.19,0.14,0.1,0.04,0.04,0.01
2020-03,87.07,12.56,0.18,0.11,0.06,0.01,0,0.01
2020-04,86.55,13.04,0.17,0.18,0.02,0.02,0,0.01
2020-05,86.03,13.73,0.16,0.04,0.01,0.02,0,0.02
2020-06,85.21,14.4,0.28,0.06,0.02,0.01,0.01,0.01
2020-07,84.43,14.69,0.81,0.02,0.01,0.02,0.01,0.02
2020-08,84.02,14.75,1.12,0.04,0.01,0.01,0.02,0.03
2020-09,84.24,14.99,0.72,0.02,0.01,0.01,0,0.02
2020-10,83.74,15.28,0.78,0.17,0.01,0.01,0,0.01
2020-11,84.32,14.79,0.75,0.12,0.01,0.01,0,0
2020-12,81.25,18.03,0.63,0.05,0,0.01,0,0.01
