"Date","Android","iOS","Windows","BlackBerry OS","Samsung","Linux","Playstation","Other"
2020-01,92.59,7.18,0.13,0.03,0.02,0.03,0.01,0.02
2020-02,91.97,7.84,0.09,0.06,0.01,0.01,0.01,0.01
2020-03,92,7.86,0.11,0.02,0.01,0,0,0
2020-04,91.03,8.82,0.08,0.01,0.01,0.01,0.01,0.01
2020-05,89.23,10.66,0.01,0.02,0.05,0.02,0.01,0.02
2020-06,90.54,9.31,0.02,0.01,0.03,0.01,0.07,0.01
2020-07,90.63,9.28,0.03,0.01,0.02,0.02,0.01,0.01
2020-08,89.14,10.72,0.03,0.02,0.03,0.02,0.01,0.03
2020-09,88.42,11.43,0.02,0.03,0.03,0.01,0,0.05
2020-10,88.58,11.26,0.02,0.07,0.02,0.02,0.01,0.03
2020-11,88.25,11.55,0.01,0.06,0.07,0.03,0,0.02
2020-12,89.02,10.74,0.01,0.08,0.04,0.04,0,0.06
