"Date","Android","iOS","Samsung","Windows","Playstation","BlackBerry OS","Unknown","Other"
2020-01,83.83,15.5,0.3,0.2,0.03,0.05,0.04,0.05
2020-02,85.01,14.53,0.25,0.1,0.03,0.04,0.02,0.02
2020-03,84.57,14.76,0.41,0.1,0.11,0.03,0.01,0.01
2020-04,83.15,16.22,0.46,0.08,0.05,0.01,0.01,0.02
2020-05,83.26,16.26,0.39,0.02,0.03,0.01,0.01,0.01
2020-06,84.28,15.27,0.35,0.02,0.03,0.02,0.02,0.01
2020-07,84.17,15.44,0.32,0.02,0.04,0.01,0.01,0.01
2020-08,84.83,14.79,0.31,0.02,0.02,0.01,0.02,0.01
2020-09,85.82,13.93,0.18,0.02,0.02,0,0.01,0.01
2020-10,83.88,15.81,0.25,0.02,0.02,0.01,0.01,0.01
2020-11,84.17,15.43,0.35,0.01,0.02,0.01,0.01,0
2020-12,84.14,15.47,0.33,0.01,0.03,0.01,0.02,0.01
