"Date","Android","iOS","Samsung","Unknown","Windows","Other"
2020-01,53.85,45.31,0.67,0.11,0.05,0.01
2020-02,52.3,46.71,0.83,0.1,0.03,0.03
2020-03,52.5,46.33,1.05,0.09,0.02,0.01
2020-04,52.81,45.78,1.31,0.09,0.01,0.01
2020-05,53.12,45.37,1.39,0.1,0,0.01
2020-06,53.15,45.35,1.37,0.11,0.01,0.01
2020-07,52.94,45.84,1.15,0.06,0.01,0.01
2020-08,52.75,45.55,1.62,0.07,0,0.01
2020-09,54.29,43.8,1.82,0.08,0.01,0.01
2020-10,54.3,43.72,1.86,0.09,0,0.03
2020-11,53.67,44.52,1.72,0.08,0.01,0.01
2020-12,53.93,44.41,1.58,0.07,0.01,0
