"Date","Android","iOS","Samsung","Windows","Nokia Unknown","BlackBerry OS","Other"
2020-01,79.84,18.56,1.22,0.23,0.02,0.02,0.1
2020-02,80.02,18.88,0.8,0.22,0.03,0.02,0.03
2020-03,81.05,18.02,0.7,0.19,0,0.01,0.02
2020-04,79.52,19.61,0.67,0.15,0.01,0.02,0.03
2020-05,79.54,19.71,0.61,0.08,0.01,0.01,0.03
2020-06,79.95,19.24,0.66,0.09,0.01,0.01,0.04
2020-07,80.73,18.47,0.67,0.08,0.01,0.01,0.03
2020-08,80.54,18.54,0.77,0.09,0.01,0.01,0.03
2020-09,80.35,18.74,0.75,0.1,0.01,0.01,0.04
2020-10,78.01,20.99,0.87,0.08,0.01,0.01,0.04
2020-11,78.37,20.57,0.93,0.09,0.01,0.01,0.02
2020-12,78.49,20.35,1.05,0.07,0.01,0.01,0.02
