"Date","Android","iOS","KaiOS","Samsung","Tizen","Nokia Unknown","Unknown","Windows","Series 40","Other"
2020-01,94.93,2.86,1.36,0.31,0.15,0.12,0.07,0.09,0.07,0.04
2020-02,94.49,3.12,1.73,0.2,0.14,0.08,0.08,0.08,0.05,0.03
2020-03,94.02,3.18,2.49,0.02,0.13,0.01,0.05,0.07,0.01,0.01
2020-04,95.17,3.35,0.99,0.11,0.11,0.05,0.1,0.06,0.03,0.02
2020-05,94.45,3.53,1.51,0.15,0.11,0.06,0.11,0.03,0.04,0.02
2020-06,95.07,3.54,0.93,0.13,0.11,0.05,0.09,0.03,0.03,0.02
2020-07,95.61,3.35,0.65,0.15,0.09,0.05,0.04,0.02,0.02,0.02
2020-08,95.73,3.3,0.54,0.18,0.09,0.06,0.03,0.02,0.03,0.02
2020-09,95.85,3.24,0.53,0.17,0.08,0.05,0.03,0.01,0.02,0.02
2020-10,96,3.19,0.48,0.15,0.07,0.05,0.03,0.01,0.02,0.02
2020-11,95.24,3.34,1.06,0.17,0.06,0.05,0.03,0.01,0.02,0.02
2020-12,96.28,2.69,0.76,0.12,0.05,0.04,0.02,0.01,0.02,0.02
