"Date","Android","iOS","Samsung","Unknown","Nokia Unknown","Windows","Tizen","Series 40","BlackBerry OS","Other"
2020-01,93.03,6.62,0.05,0.04,0.07,0.03,0.04,0.05,0.03,0.04
2020-02,92.64,7.06,0.06,0.05,0.04,0.03,0.03,0.04,0.02,0.02
2020-03,92.65,7.16,0.07,0.03,0,0.03,0.02,0.01,0.02,0
2020-04,92.02,7.76,0.08,0.05,0.02,0.01,0.02,0.01,0.02,0.01
2020-05,91.92,7.86,0.07,0.04,0.02,0.01,0.03,0.02,0.02,0.01
2020-06,92.3,7.5,0.05,0.04,0.02,0.01,0.03,0.02,0.02,0.01
2020-07,92.54,7.25,0.06,0.04,0.02,0.01,0.02,0.02,0.03,0.02
2020-08,92.14,7.63,0.08,0.04,0.03,0.01,0.02,0.02,0.02,0.02
2020-09,91.84,7.93,0.06,0.03,0.03,0.04,0.02,0.02,0.01,0.02
2020-10,91.5,8.27,0.07,0.03,0.03,0.04,0.01,0.02,0.01,0.01
2020-11,91.03,8.71,0.07,0.03,0.03,0.05,0.01,0.02,0.01,0.02
2020-12,92.27,7.5,0.06,0.03,0.03,0.06,0.01,0.02,0.01,0.01
