"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,86.02,13.87,0.03,0.03,0.01,0.04
2020-02,86.41,13.46,0.03,0.04,0.01,0.04
2020-03,83.58,16.31,0.04,0.04,0.01,0.02
2020-04,82.87,17.03,0.04,0.02,0.03,0.02
2020-05,80.1,19.78,0.06,0.02,0.02,0.02
2020-06,79.21,20.68,0.07,0.01,0.01,0.02
2020-07,78.64,21.21,0.1,0.01,0.02,0.02
2020-08,80.52,19.32,0.11,0.01,0.02,0.02
2020-09,82.53,17.3,0.11,0.02,0.01,0.02
2020-10,80.58,19.28,0.1,0,0.02,0.01
2020-11,81.31,18.48,0.17,0.01,0.02,0.02
2020-12,81.44,18.34,0.17,0,0.02,0.03
