"Date","Android","iOS","Samsung","Unknown","Windows","Other"
2020-01,55.51,44.02,0.1,0.23,0.08,0.05
2020-02,54.73,44.78,0.1,0.27,0.07,0.04
2020-03,55.08,44.48,0.1,0.25,0.04,0.05
2020-04,54.09,45.57,0.12,0.18,0.02,0.03
2020-05,59.16,40.7,0.1,0.01,0.01,0.03
2020-06,63.61,36.23,0.1,0.01,0.01,0.04
2020-07,63.21,36.61,0.1,0,0.03,0.04
2020-08,62.79,37.02,0.1,0.01,0.03,0.05
2020-09,62.17,37.67,0.09,0,0.02,0.05
2020-10,54.73,45.08,0.12,0.02,0.01,0.03
2020-11,54.29,45.46,0.15,0.04,0.02,0.04
2020-12,57.49,42.19,0.18,0.05,0.02,0.08
