"Date","Android","iOS","Samsung","Windows","Nokia Unknown","Series 40","Unknown","Other"
2020-01,76.39,23.44,0.07,0.01,0.04,0.03,0.01,0.01
2020-02,76.12,23.71,0.1,0.01,0.02,0.02,0.01,0.01
2020-03,78.32,21.59,0.06,0.01,0,0,0,0.01
2020-04,76.99,22.93,0.06,0,0.01,0,0.01,0.01
2020-05,77.43,22.47,0.08,0,0.01,0.01,0,0
2020-06,78.64,21.22,0.08,0.01,0.01,0.01,0.02,0
2020-07,77.45,22.37,0.09,0.04,0.01,0.01,0.02,0.01
2020-08,76.83,22.89,0.1,0.12,0.01,0.01,0.02,0.02
2020-09,78.59,21.21,0.11,0.05,0.01,0.01,0.01,0.01
2020-10,75.64,24.2,0.12,0.01,0.01,0.01,0.01,0.01
2020-11,76.12,23.72,0.12,0,0.01,0.02,0.01,0
2020-12,76.94,22.89,0.12,0,0.01,0.02,0.01,0.01
