"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,74.39,25.19,0.18,0.2,0.01,0.03
2020-02,74.28,25.37,0.19,0.12,0.01,0.03
2020-03,74.41,25.26,0.19,0.11,0.01,0.02
2020-04,75.37,24.4,0.14,0.06,0.01,0.02
2020-05,74.13,25.59,0.2,0.05,0.01,0.02
2020-06,76.68,23.02,0.23,0.04,0.01,0.02
2020-07,76.33,23.39,0.21,0.04,0.01,0.02
2020-08,74.82,24.94,0.18,0.03,0.01,0.02
2020-09,75.69,23.71,0.53,0.04,0.01,0.02
2020-10,72.75,26.69,0.52,0.02,0.01,0.01
2020-11,72.63,27.08,0.25,0.02,0.01,0.01
2020-12,72.67,27.08,0.21,0.01,0.01,0.01
