"Date","Android","iOS","Samsung","Windows","Linux","BlackBerry OS","Playstation","KaiOS","Unknown","Other"
2020-01,78.26,21.45,0.09,0.1,0.01,0.03,0.04,0,0,0
2020-02,78.38,21.39,0.07,0.12,0.01,0.01,0.01,0,0,0
2020-03,78.26,21.46,0.09,0.12,0.02,0.01,0.01,0.02,0,0
2020-04,76.73,22.95,0.09,0.06,0.07,0.04,0.01,0.02,0.04,0
2020-05,79.46,20.29,0.12,0.03,0.04,0.03,0.02,0.01,0,0
2020-06,77.76,22.03,0.1,0.03,0.02,0.03,0.01,0.02,0.01,0
2020-07,77.78,22.02,0.1,0.04,0.01,0.01,0.02,0.01,0,0
2020-08,78.49,21.3,0.13,0.02,0.01,0.02,0.01,0.01,0,0
2020-09,78.48,21.28,0.13,0.02,0.01,0.01,0,0.02,0.05,0
2020-10,76.47,23.27,0.17,0.02,0.03,0.01,0.01,0.01,0.01,0
2020-11,75.69,24.06,0.17,0.03,0.01,0.02,0,0.01,0,0
2020-12,74.75,24.95,0.2,0.02,0.04,0.01,0.01,0.01,0.01,0
