"Date","iOS","Android","Playstation","Unknown","Samsung","Nintendo 3DS","Other"
2020-01,65.94,33.84,0.08,0.05,0.01,0.04,0.03
2020-02,65.41,34.37,0.07,0.04,0.02,0.06,0.02
2020-03,64.41,35.37,0.08,0.04,0.01,0.05,0.03
2020-04,61.35,38.45,0.07,0.03,0.02,0.04,0.02
2020-05,64.26,35.52,0.07,0.05,0.02,0.03,0.04
2020-06,61.58,38.28,0.07,0.04,0.02,0,0.02
2020-07,63.48,36.37,0.07,0.03,0.02,0,0.02
2020-08,62.69,37.17,0.07,0.04,0.02,0,0.01
2020-09,62.78,37.07,0.08,0.03,0.03,0,0.01
2020-10,64.34,35.5,0.07,0.04,0.03,0,0.02
2020-11,63.21,36.66,0.07,0.03,0.02,0,0.01
2020-12,62.99,36.87,0.06,0.03,0.03,0,0.01
