"Date","iOS","Android","Samsung","Windows","Sony Ericsson","Other"
2020-01,66.44,33.06,0.36,0.12,0,0.01
2020-02,62.72,37.04,0.16,0.07,0.01,0.01
2020-03,63.52,36.13,0.26,0.06,0,0.02
2020-04,66.54,32.62,0.66,0.11,0.04,0.03
2020-05,66.98,31.96,1,0,0.02,0.03
2020-06,66.4,32.88,0.67,0.01,0.02,0.03
2020-07,62.95,36.44,0.56,0,0.01,0.03
2020-08,63.91,35.63,0.4,0,0.05,0.01
2020-09,64.47,34.92,0.57,0.01,0.02,0.02
2020-10,69.78,29.82,0.33,0,0.06,0.01
2020-11,68.32,31.14,0.5,0.01,0.04,0
2020-12,69.83,29.84,0.3,0,0.02,0.01
