"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,84.9,14.93,0.05,0.09,0.01,0.02
2020-02,87.61,12.25,0.06,0.06,0,0.02
2020-03,86.2,13.67,0.03,0.08,0.01,0.01
2020-04,84.91,14.95,0.05,0.06,0.02,0.01
2020-05,84.54,15.37,0.05,0.02,0.01,0.01
2020-06,83.08,16.8,0.08,0.02,0.01,0.01
2020-07,84.1,15.78,0.07,0.02,0.01,0.02
2020-08,84.82,15.06,0.07,0.01,0.02,0.02
2020-09,84.57,15.33,0.06,0.01,0.01,0.01
2020-10,83.02,16.88,0.07,0.01,0.01,0.01
2020-11,84.26,15.62,0.09,0.01,0.01,0.02
2020-12,85.57,14.26,0.12,0,0.02,0.02
