"Date","Android","iOS","Samsung","Unknown","Series 40","Windows","Nokia Unknown","BlackBerry OS","SymbianOS","Other"
2020-01,80.47,19.12,0.09,0.05,0.06,0.08,0.05,0.02,0.03,0.02
2020-02,79.75,19.69,0.12,0.11,0.04,0.1,0.02,0.06,0.06,0.05
2020-03,79.94,19.72,0.14,0.05,0,0.08,0,0.03,0.02,0.02
2020-04,79.79,19.85,0.1,0.08,0.02,0.04,0.01,0.05,0.04,0.03
2020-05,78.92,20.73,0.09,0.06,0.04,0.02,0.07,0.04,0.01,0.02
2020-06,78.17,21.4,0.15,0.03,0.1,0.03,0.09,0.02,0.01,0.01
2020-07,76.68,23.07,0.14,0.02,0.05,0.02,0.02,0,0,0
2020-08,78.41,21.3,0.14,0.03,0.07,0.02,0.02,0,0,0
2020-09,78.54,21.22,0.11,0.02,0.02,0.02,0.01,0,0.04,0
2020-10,78.59,21.25,0.09,0.01,0.02,0.01,0.01,0,0,0
2020-11,78.74,21.02,0.18,0,0.03,0.01,0.01,0,0,0
2020-12,80.41,19.41,0.13,0,0.02,0.01,0.01,0,0.01,0
