"Date","Android","iOS","Samsung","Windows","Nokia Unknown","Unknown","Series 40","Other"
2020-01,88.5,11.19,0.02,0.07,0.06,0.04,0.05,0.07
2020-02,87.93,11.86,0.02,0.06,0.02,0.03,0.01,0.06
2020-03,87.38,12.51,0.03,0.04,0.01,0.03,0,0.01
2020-04,88.75,11.13,0.01,0.02,0.01,0.05,0.01,0.01
2020-05,88.14,11.73,0.02,0.01,0.03,0.02,0.02,0.03
2020-06,86.93,12.98,0.03,0.01,0.01,0.01,0.01,0.01
2020-07,85.81,14.08,0.05,0.02,0.01,0,0.01,0.01
2020-08,86.3,13.55,0.05,0.02,0.05,0.01,0.01,0.01
2020-09,89.05,10.85,0.05,0.02,0.01,0,0.01,0.01
2020-10,89.16,10.75,0.05,0.01,0.01,0,0.01,0
2020-11,89.78,10.14,0.05,0,0.01,0.01,0,0.01
2020-12,91.19,8.72,0.04,0,0.02,0.01,0,0.01
