"Date","Android","iOS","Samsung","Windows","Nokia Unknown","Unknown","Other"
2020-01,73.89,25.51,0.23,0.16,0.09,0.05,0.06
2020-02,75.42,24.11,0.16,0.12,0.08,0.05,0.06
2020-03,74.84,24.85,0.17,0.11,0,0.01,0.02
2020-04,73.81,25.85,0.19,0.07,0.02,0.02,0.04
2020-05,75.01,24.73,0.18,0.04,0.02,0.01,0.01
2020-06,76.4,23.32,0.21,0.03,0.02,0.01,0.02
2020-07,74.82,24.79,0.32,0.04,0.02,0,0.01
2020-08,74.79,24.84,0.3,0.03,0.01,0.01,0.02
2020-09,74.46,25.29,0.19,0.02,0.02,0,0.02
2020-10,73.69,26.05,0.2,0.02,0.02,0,0.01
2020-11,73.77,25.9,0.29,0.01,0.02,0,0.01
2020-12,73.29,26.42,0.23,0.02,0.02,0.01,0.01
