"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,80.77,19,0.06,0.09,0.02,0.06
2020-02,81.24,18.63,0.05,0.03,0.01,0.04
2020-03,79.49,20.4,0.06,0.02,0.01,0.01
2020-04,78.76,21.12,0.06,0.01,0.02,0.02
2020-05,78.91,20.98,0.07,0.02,0.01,0.01
2020-06,80.09,19.79,0.09,0.01,0.02,0.01
2020-07,79.7,20.19,0.08,0.01,0.01,0.01
2020-08,81.97,17.9,0.1,0,0.01,0.01
2020-09,82.62,17.25,0.11,0,0.01,0.01
2020-10,78.78,21.04,0.16,0.01,0.01,0.01
2020-11,82.64,17.15,0.19,0,0.01,0.01
2020-12,83.2,16.58,0.2,0,0.01,0.01
