"Date","Android","iOS","Tizen","Linux","Nokia Unknown","Windows","Series 40","BlackBerry OS","Samsung","Unknown","Other"
2020-01,93.11,3.52,0.99,0.51,0.26,0.89,0.43,0.17,0.07,0.04,0.01
2020-02,94.13,3.18,0.76,0.58,0.11,0.66,0.21,0.25,0.08,0.04,0
2020-03,95.57,2.77,0.67,0.32,0.01,0.4,0.02,0.2,0.02,0.03,0
2020-04,94.25,3.98,0.58,0.42,0.05,0.2,0.11,0.19,0.03,0.18,0.01
2020-05,94.27,3.68,0.71,0.7,0.07,0.23,0.13,0.14,0.03,0.03,0.01
2020-06,95.31,2.54,0.79,0.78,0.12,0.08,0.08,0.26,0.03,0.01,0
2020-07,94.66,2.98,0.79,0.5,0.3,0.02,0.41,0.2,0.09,0.03,0.01
2020-08,94.92,3.05,0.53,0.61,0.38,0.06,0.19,0.18,0.03,0.03,0.02
2020-09,95.16,2.75,0.47,0.9,0.31,0.04,0.21,0.07,0.05,0.03,0
2020-10,94.5,3.28,0.51,0.99,0.22,0.03,0.26,0.1,0.06,0.04,0.01
2020-11,94.58,3.65,0.46,0.48,0.4,0.02,0.21,0.12,0.06,0.01,0
2020-12,95.53,2.66,0.37,0.5,0.48,0.02,0.27,0.07,0.06,0.03,0.01
