"Date","Android","iOS","Unknown","Linux","KaiOS","Windows","LG","Series 40","Nokia Unknown","Samsung","BlackBerry OS","Other"
2020-01,86.99,4.61,6.65,0.78,0.28,0.19,0.11,0.22,0.08,0.06,0.01,0.03
2020-02,88.86,5.42,4.23,0.49,0.55,0.16,0.06,0.1,0.06,0.02,0.04,0.01
2020-03,91.45,7.3,0.37,0.21,0.39,0.11,0.12,0.02,0,0,0.01,0.01
2020-04,89.52,8.05,1.54,0.3,0.23,0.13,0.12,0.02,0.01,0.03,0.02,0.03
2020-05,88.11,8.24,2.59,0.43,0.31,0.03,0.13,0.05,0.06,0.01,0.02,0.01
2020-06,88.95,7.22,3.2,0.19,0.12,0.04,0.14,0.04,0.04,0.02,0.03,0
2020-07,88.38,5.81,5.01,0.28,0.22,0.04,0.12,0.03,0.06,0.04,0.02,0
2020-08,88.87,5.79,4.57,0.18,0.32,0.06,0.02,0.06,0.06,0.06,0.03,0
2020-09,88.17,5.94,5.14,0.26,0.28,0.05,0.01,0.02,0.04,0.06,0.02,0
2020-10,86.06,6.79,6.32,0.45,0.21,0.02,0.01,0.02,0.02,0.03,0.05,0.01
2020-11,85.17,6.53,7.44,0.44,0.26,0.03,0.01,0.02,0.04,0.01,0.03,0.01
2020-12,85.43,6.68,6.88,0.29,0.44,0.04,0,0.02,0.04,0.13,0.03,0.01
