"Date","Android","iOS","Series 40","Samsung","SymbianOS","Nokia Unknown","Unknown","Linux","Windows","Other"
2020-01,93.5,5.95,0.16,0.07,0.12,0.06,0.03,0.06,0.03,0.01
2020-02,92.95,6.56,0.08,0.03,0.12,0.04,0.14,0.03,0.05,0.01
2020-03,91.86,8.02,0,0.02,0,0,0.01,0.01,0.07,0.01
2020-04,86.72,13.05,0.04,0.03,0.02,0.03,0.04,0.02,0.04,0.01
2020-05,89.73,10.06,0.06,0.03,0.03,0.02,0.03,0.01,0.03,0.01
2020-06,90.7,9.03,0.06,0.07,0.03,0.04,0.04,0.02,0.01,0
2020-07,89.71,9.57,0.42,0.09,0.1,0.02,0.04,0.02,0.02,0
2020-08,88.82,10.8,0.08,0.09,0.08,0.05,0.03,0.04,0,0
2020-09,90.1,9.53,0.08,0.1,0.07,0.04,0.02,0.03,0.01,0.01
2020-10,88.9,10.65,0.16,0.12,0.07,0.04,0.02,0.04,0.01,0
2020-11,89.91,9.68,0.13,0.09,0.08,0.04,0.02,0.03,0.01,0.01
2020-12,90.48,9.27,0.06,0.1,0.03,0.02,0.01,0.02,0.01,0
