"Date","Android","iOS","Samsung","Windows","Unknown","Nokia Unknown","BlackBerry OS","Other"
2020-01,79.35,20.08,0.17,0.25,0.02,0.04,0.02,0.06
2020-02,80,19.49,0.19,0.23,0.02,0.02,0.02,0.03
2020-03,78.52,20.67,0.21,0.26,0.12,0,0.13,0.09
2020-04,77.41,22.17,0.12,0.16,0.06,0.03,0.02,0.04
2020-05,76.59,23.1,0.16,0.06,0.03,0.04,0.01,0.02
2020-06,77.38,22.28,0.19,0.08,0.02,0.03,0,0.01
2020-07,77.11,22.58,0.16,0.07,0.02,0.02,0.02,0.02
2020-08,75.83,23.84,0.17,0.08,0.02,0.04,0.01,0.01
2020-09,75.04,24.64,0.16,0.07,0.03,0.04,0,0.02
2020-10,73.72,25.96,0.14,0.1,0.02,0.05,0,0.01
2020-11,72.32,27.41,0.13,0.09,0.02,0.02,0,0.01
2020-12,73.76,25.88,0.17,0.08,0.03,0.02,0,0.05
