"Date","Android","iOS","Samsung","Unknown","BlackBerry OS","Windows","SymbianOS","Linux","Other"
2020-01,61.75,37.28,0.4,0.25,0.11,0.05,0.08,0.04,0.04
2020-02,63.82,35.36,0.48,0.11,0.07,0.04,0.06,0.03,0.02
2020-03,67.35,32.07,0.43,0.06,0.04,0.02,0.02,0.01,0.01
2020-04,66.22,33.3,0.4,0.04,0.01,0.02,0,0.01,0
2020-05,55.97,43.38,0.58,0.03,0.01,0.02,0,0,0
2020-06,59.1,40.29,0.47,0.06,0.01,0.01,0.03,0.01,0.01
2020-07,56.54,42.96,0.44,0.02,0,0.04,0,0,0
2020-08,56.23,43.14,0.59,0.02,0.01,0.02,0,0,0.01
2020-09,55.28,44.1,0.59,0.01,0.01,0.01,0,0,0.01
2020-10,48.79,50.57,0.62,0.01,0,0.01,0,0,0
2020-11,49.19,49.93,0.84,0.01,0.01,0.01,0,0,0
2020-12,48.43,50.77,0.69,0,0.07,0,0,0,0.02
