"Date","Android","Unknown","iOS","SymbianOS","Windows","Series 40","Samsung","KaiOS","Linux","Nokia Unknown","BlackBerry OS","Sony Ericsson","Playstation","Firefox OS","Tizen","LG","Other"
2020-01,67.82,22.29,4.62,1.82,0.74,1,0.58,0.32,0.41,0.14,0.09,0.05,0.01,0.03,0.04,0.03,0.02
2020-02,70.87,19.26,5.46,1.6,0.67,0.55,0.43,0.5,0.28,0.12,0.13,0.05,0.01,0.02,0.02,0.02,0.02
2020-03,73.69,16.29,6.16,1.59,0.88,0.2,0.27,0.56,0.06,0.06,0.06,0.04,0.03,0.07,0.03,0,0.02
2020-04,77.42,11.79,8.71,0.16,0.6,0.17,0.27,0.44,0.18,0.13,0.04,0.03,0.01,0.01,0.03,0.01,0
2020-05,80.74,6.49,10.72,0.24,0.33,0.4,0.23,0.17,0.29,0.19,0.08,0.02,0.06,0.03,0.01,0,0
2020-06,81.11,6.75,10.25,0.13,0.37,0.17,0.16,0.17,0.59,0.1,0.12,0.03,0.02,0.01,0.01,0.01,0
2020-07,84.49,4.64,9.03,0.3,0.59,0.11,0.14,0.13,0.19,0.16,0.07,0.06,0.01,0.02,0.05,0.02,0
2020-08,84.11,4.29,9.33,0.33,0.7,0.13,0.41,0.09,0.28,0.08,0.09,0.08,0.04,0.02,0.01,0.01,0
2020-09,84.2,4.66,8.98,0.45,0.63,0.2,0.25,0.16,0.29,0.07,0.03,0.04,0.01,0.02,0,0.01,0
2020-10,84.99,4.58,8.91,0.15,0.28,0.19,0.26,0.26,0.21,0.08,0.02,0.04,0.01,0.01,0.01,0,0
2020-11,83.98,5.68,8.37,0.41,0.35,0.22,0.21,0.42,0.2,0.07,0.03,0.02,0.01,0.01,0.01,0.01,0.01
2020-12,80.47,9.63,7.52,0.16,0.35,0.27,0.3,0.35,0.25,0.1,0.03,0.15,0.35,0.02,0.04,0.02,0
