"Date","Android","iOS","Windows","Samsung","Unknown","Linux","Other"
2020-01,72.53,27.38,0.05,0.01,0,0.01,0.02
2020-02,71.61,28.29,0.07,0.01,0.01,0,0.01
2020-03,72.45,27.39,0.13,0.01,0.01,0,0.02
2020-04,75.52,24.35,0.07,0.01,0.03,0,0.01
2020-05,74.83,24.9,0.02,0.01,0.11,0.11,0.03
2020-06,72.86,27.07,0,0.03,0.02,0,0.02
2020-07,72.55,27.41,0.01,0.01,0.01,0,0
2020-08,69.85,30.1,0.01,0.02,0,0,0.01
2020-09,70.35,29.55,0.02,0.06,0,0,0.01
2020-10,70.48,29.46,0,0.04,0,0.01,0
2020-11,70.57,29.36,0.02,0.04,0,0.01,0
2020-12,70.75,29.17,0.02,0.04,0,0.01,0.02
