"Date","Android","iOS","Unknown","Samsung","Windows","Series 40","LG","BlackBerry OS","KaiOS","Nokia Unknown","Firefox OS","SymbianOS","Linux","Other"
2020-01,87.3,6.18,4.26,0.81,0.38,0.35,0.35,0.08,0.02,0.17,0.02,0.04,0.03,0
2020-02,89.63,6.71,1.98,0.41,0.6,0.25,0.18,0.09,0.02,0.07,0.01,0.01,0.02,0
2020-03,92.14,6.75,0.17,0.02,0.41,0.36,0,0.05,0.02,0,0.06,0.02,0,0
2020-04,91.04,7.89,0.58,0.06,0.2,0.01,0.01,0.05,0.03,0.01,0.1,0,0.01,0.01
2020-05,89.36,9.21,0.82,0.18,0.03,0.19,0.02,0.06,0.03,0.01,0.07,0.01,0.01,0
2020-06,90.28,7.95,1.14,0.29,0.05,0.02,0.04,0.13,0.06,0.01,0.02,0.02,0.01,0.01
2020-07,88.09,9.15,1.92,0.36,0.06,0.02,0.08,0.1,0.1,0.06,0.02,0.01,0.01,0.01
2020-08,87.63,9.18,2.32,0.33,0.02,0.03,0.16,0.1,0.1,0.08,0.01,0,0.02,0.01
2020-09,86.14,10,2.86,0.42,0.03,0.01,0.14,0.14,0.14,0.08,0,0.01,0.01,0.01
2020-10,86.6,10.06,2.4,0.42,0.03,0.05,0.1,0.07,0.19,0.05,0,0.01,0.01,0
2020-11,87.62,8.65,2.54,0.84,0.03,0.01,0.13,0.02,0.09,0.04,0,0.01,0.01,0
2020-12,88.55,8.35,2.2,0.47,0.02,0.01,0.2,0.03,0.1,0.05,0,0.01,0,0.01
