"Date","Android","iOS","Samsung","Windows","Playstation","Other"
2020-01,78.48,21.35,0.06,0.05,0,0.05
2020-02,78.74,21.11,0.05,0.04,0.01,0.04
2020-03,77.33,22.56,0.04,0.05,0,0.01
2020-04,74.81,25.12,0.04,0.01,0.01,0.02
2020-05,78.89,21.01,0.07,0.01,0,0.02
2020-06,78.9,20.98,0.1,0,0,0.01
2020-07,79.96,19.82,0.2,0.01,0.01,0.01
2020-08,78.94,20.8,0.22,0.01,0,0.03
2020-09,78.77,20.9,0.24,0.01,0.06,0.01
2020-10,77.73,22.04,0.12,0.01,0.08,0.02
2020-11,76.26,23.59,0.12,0.02,0,0.02
2020-12,74.47,25.3,0.17,0,0,0.06
