"Date","Android","iOS","Unknown","Samsung","Nokia Unknown","Linux","Windows","BlackBerry OS","LG","Series 40","Other"
2020-01,90.28,8.42,0.62,0.07,0.14,0.21,0.12,0.01,0.07,0.04,0.01
2020-02,90.76,8.31,0.5,0.03,0.06,0.16,0.11,0,0.05,0.01,0.01
2020-03,91.73,7.95,0.08,0.02,0,0,0.11,0.08,0,0,0.03
2020-04,90.1,9.72,0.04,0.02,0.04,0.02,0.02,0.04,0,0.01,0
2020-05,89.22,10.51,0.08,0.03,0.03,0.02,0,0.06,0.01,0.01,0.02
2020-06,88.61,11.2,0.06,0.05,0.02,0.03,0.01,0.01,0,0.01,0.01
2020-07,88.26,11.47,0.07,0.08,0.05,0.03,0.02,0,0,0.01,0.01
2020-08,88.6,11.07,0.08,0.08,0.07,0.04,0.01,0.02,0.01,0.01,0.01
2020-09,89.31,10.37,0.07,0.09,0.07,0.02,0.04,0.02,0,0,0.01
2020-10,89.51,10.13,0.09,0.09,0.05,0.02,0,0.06,0,0.01,0.02
2020-11,89.82,9.96,0.06,0.09,0.01,0.01,0,0.03,0,0.01,0
2020-12,87.93,11.73,0.1,0.17,0.02,0.01,0.01,0.01,0,0,0.01
