"Date","Android","iOS","Playstation","Samsung","BlackBerry OS","Unknown","Other"
2020-01,83.93,15.51,0.51,0,0,0,0.05
2020-02,82.84,16.58,0.54,0.04,0,0,0
2020-03,82.94,16.57,0.01,0.04,0.4,0,0.04
2020-04,82.4,17.32,0.08,0.1,0.02,0.01,0.07
2020-05,80.9,18.9,0.08,0.1,0,0,0.02
2020-06,80.24,19.5,0.17,0.01,0.05,0.02,0.01
2020-07,80.7,19.09,0.14,0.05,0,0.02,0
2020-08,82.01,17.82,0.06,0.1,0,0,0.01
2020-09,80.66,19.27,0.01,0.02,0,0.02,0.01
2020-10,81.5,18.49,0.01,0.01,0,0,0
2020-11,81.95,17.77,0,0.25,0,0.03,0
2020-12,81.43,18.26,0.11,0.14,0,0.05,0.02
