"Date","Android","iOS","Samsung","Windows","Unknown","BlackBerry OS","Linux","SymbianOS","Other"
2020-01,88,11.38,0.26,0.15,0.08,0.04,0.03,0.03,0.03
2020-02,87.33,11.8,0.24,0.28,0.12,0.08,0.04,0.06,0.04
2020-03,88.06,11.47,0.19,0.21,0.03,0.01,0.02,0,0.01
2020-04,86.97,12.62,0.19,0.12,0.05,0.02,0.01,0.01,0.01
2020-05,84.93,14.74,0.21,0.05,0.05,0.01,0,0,0.02
2020-06,83.72,15.58,0.47,0.15,0.03,0.01,0.02,0.01,0.01
2020-07,82.81,16.35,0.59,0.15,0.04,0.02,0.01,0,0.01
2020-08,81.46,17.86,0.46,0.12,0.04,0.02,0.01,0.01,0.03
2020-09,83.74,15.95,0.19,0.09,0.01,0,0,0,0.02
2020-10,82.81,16.63,0.19,0.33,0.01,0,0,0,0.02
2020-11,83.08,16.61,0.16,0.12,0.01,0.01,0,0,0.01
2020-12,82.15,17.57,0.21,0.05,0.01,0,0,0,0.01
