"Date","iOS","Android","Samsung","Unknown","Windows","BlackBerry OS","Other"
2020-01,62.38,36.09,1.39,0.01,0.13,0,0
2020-02,67.18,32.13,0.51,0,0.14,0.04,0.01
2020-03,68.22,30.2,0.22,1.23,0.1,0.03,0.01
2020-04,70.53,27.57,0.39,1.49,0,0.01,0
2020-05,67.11,32.01,0.86,0,0.01,0.01,0
2020-06,63.2,36.32,0.39,0.01,0.08,0,0
2020-07,61.37,38.27,0.3,0,0.03,0.02,0.01
2020-08,62.7,36.83,0.37,0,0.05,0.04,0
2020-09,59.83,39.93,0.21,0.01,0.02,0,0
2020-10,63.17,36.31,0.46,0,0.05,0,0.01
2020-11,62.17,37.34,0.39,0,0.07,0.03,0
2020-12,64.44,35.35,0.18,0.02,0.01,0,0.01
