"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,79.44,20.43,0.06,0.01,0.01,0.06
2020-02,80.05,19.83,0.06,0.01,0.01,0.04
2020-03,70.67,28.86,0.34,0.08,0.01,0.04
2020-04,71.82,27.8,0.3,0.03,0.02,0.02
2020-05,71.86,27.86,0.21,0.02,0.03,0.02
2020-06,74.31,25.39,0.24,0.02,0.01,0.02
2020-07,71.34,28.33,0.26,0.01,0.04,0.02
2020-08,71.02,28.67,0.24,0.02,0.03,0.02
2020-09,72.59,27.01,0.33,0.03,0.02,0.01
2020-10,71.31,28.34,0.31,0.01,0.01,0.02
2020-11,70.17,29.5,0.28,0.02,0.01,0.02
2020-12,70.98,28.72,0.27,0.01,0.01,0.01
