"Date","Android","iOS","Samsung","Windows","Nokia Unknown","Other"
2020-01,87.57,12.05,0.17,0.13,0.02,0.06
2020-02,88.41,11.29,0.13,0.13,0.01,0.03
2020-03,87.89,11.86,0.13,0.08,0,0.03
2020-04,86.4,13.4,0.09,0.08,0.01,0.02
2020-05,85.92,13.97,0.04,0.03,0.01,0.02
2020-06,86.55,13.35,0.05,0.03,0.01,0.01
2020-07,85.93,13.93,0.07,0.02,0.01,0.04
2020-08,84.83,14.95,0.15,0.01,0.02,0.04
2020-09,83.81,16.04,0.1,0.02,0.01,0.02
2020-10,83.46,16.34,0.14,0.03,0.02,0.01
2020-11,78.99,20.84,0.13,0.03,0.01,0.01
2020-12,83.99,15.76,0.19,0.03,0.01,0.01
