"Date","Android","iOS","Samsung","Windows","Series 40","Unknown","Nokia Unknown","BlackBerry OS","Other"
2020-01,69.47,30.09,0.16,0.15,0.03,0.02,0.02,0.02,0.03
2020-02,68,31.68,0.1,0.12,0.02,0.01,0.01,0.02,0.03
2020-03,70.65,29.04,0.14,0.12,0,0.01,0,0.01,0.02
2020-04,80.73,18.92,0.14,0.1,0.02,0.05,0.01,0.02,0.02
2020-05,80.77,18.91,0.16,0.06,0.02,0.03,0.02,0.01,0.02
2020-06,88.14,11.36,0.26,0.07,0.04,0.03,0.03,0.02,0.03
2020-07,88.12,11.37,0.27,0.06,0.03,0.03,0.06,0.02,0.03
2020-08,89.45,10.14,0.22,0.06,0.03,0.03,0.03,0.01,0.02
2020-09,90.52,9.1,0.22,0.04,0.03,0.03,0.02,0.01,0.02
2020-10,88.83,10.33,0.25,0.48,0.03,0.02,0.02,0.01,0.02
2020-11,89.53,9.96,0.35,0.06,0.04,0.02,0.02,0.01,0.02
2020-12,73.04,26.43,0.46,0.02,0.01,0.01,0.01,0,0.01
