"Date","Android","iOS","Unknown","Tizen","Series 40","Windows","Nokia Unknown","Linux","BlackBerry OS","SymbianOS","Samsung","Sony Ericsson","Other"
2020-01,85.79,4.9,4.09,2.43,1.01,0.48,0.37,0.13,0.16,0.32,0.17,0.15,0
2020-02,88.4,6.11,1.99,1.78,0.49,0.43,0.17,0.12,0.16,0.23,0.1,0.01,0.01
2020-03,90.73,7.16,0.19,1.12,0.03,0.42,0.01,0.02,0.15,0.15,0.02,0,0
2020-04,90.03,7.64,0.67,0.81,0.12,0.24,0.06,0.18,0.19,0.02,0.03,0,0
2020-05,87.63,9.45,1.06,0.97,0.17,0.13,0.09,0.29,0.12,0.04,0.05,0,0.01
2020-06,86.87,9.29,0.95,1.84,0.18,0.11,0.27,0.17,0.14,0.02,0.12,0.01,0.02
2020-07,87.08,7.97,1.81,1.92,0.31,0.19,0.17,0.2,0.13,0.06,0.11,0.02,0.03
2020-08,87.93,7.27,1.9,1.87,0.28,0.17,0.19,0.13,0.1,0.04,0.08,0.02,0.02
2020-09,87.55,7.48,2.15,1.7,0.28,0.17,0.2,0.19,0.11,0.06,0.08,0.01,0.02
2020-10,88.06,7.1,2.3,1.4,0.27,0.15,0.19,0.25,0.15,0.02,0.08,0.01,0.02
2020-11,87.84,7.22,2.5,1.34,0.29,0.13,0.19,0.24,0.12,0.02,0.1,0,0.02
2020-12,88.34,7.24,2.46,1.11,0.29,0.07,0.16,0.09,0.11,0.03,0.07,0,0.02
