"Date","Android","iOS","Samsung","Unknown","Linux","Other"
2020-01,88.96,10.79,0.04,0.07,0.02,0.12
2020-02,88.53,11.35,0.02,0.04,0.02,0.04
2020-03,90.68,9.25,0.03,0.02,0.01,0.01
2020-04,91.78,8.11,0.03,0.03,0.03,0.02
2020-05,89.96,9.92,0.05,0.04,0.02,0.02
2020-06,88.8,11.1,0.05,0.03,0.01,0.01
2020-07,88.93,10.91,0.09,0.04,0.02,0.01
2020-08,88.95,10.89,0.1,0.03,0.02,0.01
2020-09,89.89,9.92,0.11,0.05,0.02,0.01
2020-10,87.18,12.65,0.11,0.03,0.02,0.01
2020-11,88.51,11.23,0.13,0.06,0.03,0.05
2020-12,89.19,10.55,0.16,0.05,0.01,0.04
