"Date","Android","iOS","Tizen","Samsung","BlackBerry OS","Windows","Nokia Unknown","Series 40","Unknown","Linux","SymbianOS","Other"
2020-01,85.05,13.69,0.23,0.17,0.05,0.36,0.13,0.11,0.06,0.05,0.1,0.01
2020-02,86.36,12.71,0.26,0.19,0.04,0.21,0.07,0.05,0.03,0.03,0.03,0.01
2020-03,86.51,12.77,0.18,0.18,0.03,0.23,0,0,0.03,0.02,0.03,0.01
2020-04,85.77,13.64,0.15,0.11,0.02,0.17,0.03,0.03,0.03,0.03,0.01,0.02
2020-05,86.77,12.63,0.22,0.17,0.03,0.03,0.05,0.04,0.03,0.03,0,0
2020-06,87.26,12.24,0.18,0.09,0.04,0.02,0.03,0.04,0.04,0.03,0,0.03
2020-07,86.17,13.03,0.47,0.12,0.03,0.03,0.03,0.03,0.03,0.04,0,0.01
2020-08,87.84,11.33,0.15,0.11,0.4,0.02,0.04,0.04,0.03,0.03,0,0.01
2020-09,89.34,10.06,0.09,0.12,0.28,0.01,0.03,0.03,0.01,0.02,0.01,0.01
2020-10,90.66,8.82,0.06,0.13,0.22,0.01,0.04,0.03,0.01,0.02,0,0
2020-11,92.16,7.4,0.06,0.17,0.14,0.01,0.02,0.03,0.01,0.01,0,0
2020-12,92.19,7.44,0.06,0.16,0.05,0.01,0.02,0.03,0.01,0.01,0,0
