"Date","Android","iOS","Samsung","Series 40","Nokia Unknown","Windows","Linux","Unknown","Tizen","Other"
2020-01,94.25,5.38,0.08,0.07,0.05,0.05,0.04,0.03,0.02,0.03
2020-02,93.67,6.07,0.04,0.04,0.03,0.08,0.02,0.02,0.02,0.02
2020-03,93.33,6.56,0.01,0,0,0.06,0,0.01,0.01,0.01
2020-04,92.6,7.22,0.03,0.02,0.02,0.04,0.01,0.01,0.02,0.01
2020-05,91.76,8.09,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01
2020-06,91.8,7.96,0.05,0.03,0.04,0.02,0.06,0.01,0.01,0.01
2020-07,91.38,8.39,0.06,0.04,0.05,0.02,0.02,0.01,0.01,0.01
2020-08,91.36,8.45,0.06,0.03,0.03,0.01,0.02,0.01,0.01,0.01
2020-09,92.25,7.53,0.08,0.04,0.03,0.01,0.02,0.01,0.01,0.01
2020-10,92.68,7.13,0.06,0.03,0.03,0.01,0.02,0.01,0.02,0.01
2020-11,93.06,6.77,0.05,0.03,0.02,0.01,0.02,0.02,0.01,0.01
2020-12,92.93,6.94,0.04,0.02,0.02,0.01,0.01,0.02,0.01,0.01
