"Date","Android","iOS","Linux","Samsung","Windows","Unknown","Other"
2020-01,60.79,38.55,0.45,0.11,0.06,0.02,0.03
2020-02,61.61,37.8,0.37,0.11,0.06,0.02,0.03
2020-03,62.55,36.98,0.26,0.12,0.05,0.02,0.02
2020-04,59.44,40.29,0.1,0.1,0.03,0.01,0.02
2020-05,60.24,39.32,0.23,0.13,0.03,0.03,0.03
2020-06,63.23,36.21,0.37,0.12,0.03,0.02,0.02
2020-07,63.42,36.17,0.22,0.12,0.03,0.02,0.01
2020-08,62.98,36.68,0.11,0.15,0.05,0.02,0.02
2020-09,62.65,36.68,0.48,0.13,0.03,0.02,0.01
2020-10,56.94,42.58,0.33,0.12,0.02,0.01,0.01
2020-11,57.27,42.22,0.32,0.14,0.02,0.01,0.01
2020-12,56.54,43.15,0.16,0.12,0.01,0.02,0.01
