"Date","Android","iOS","Windows","Samsung","BlackBerry OS","Playstation","Other"
2020-01,74.05,25.72,0.07,0.14,0,0,0.02
2020-02,72.11,26.2,1.57,0.09,0,0.01,0.02
2020-03,68.06,30.9,0.98,0.02,0,0.01,0.03
2020-04,68.82,30.84,0.26,0.04,0.01,0.03,0
2020-05,71.59,28.13,0.16,0.07,0.02,0.01,0.02
2020-06,72.25,27.1,0.45,0.1,0.07,0.01,0.02
2020-07,71.59,27.28,0.86,0.15,0.07,0.01,0.05
2020-08,72.55,26.51,0.53,0.28,0.05,0.03,0.05
2020-09,73.62,26.11,0.03,0.21,0,0.01,0.01
2020-10,74.09,25.79,0.03,0.08,0,0,0.01
2020-11,73.26,26.58,0.02,0.12,0.01,0.01,0
2020-12,71.33,28.17,0.02,0.47,0,0.01,0.01
