"Date","Android","iOS","Samsung","Windows","Unknown","Playstation","BlackBerry OS","Other"
2020-01,58.39,41.29,0.17,0.08,0.06,0.01,0.01,0
2020-02,57.96,41.71,0.15,0.09,0.06,0,0.02,0.01
2020-03,57.66,42.01,0.16,0.09,0.05,0,0.02,0.01
2020-04,57.13,42.56,0.18,0.06,0.05,0,0.02,0
2020-05,58.59,41.07,0.2,0.06,0.05,0.01,0.02,0
2020-06,60.18,39.45,0.2,0.08,0.04,0.03,0.02,0
2020-07,59.53,40.08,0.23,0.06,0.03,0.05,0.01,0
2020-08,58.73,40.86,0.26,0.04,0.03,0.06,0.01,0
2020-09,58.58,41.02,0.26,0.05,0.03,0.05,0.01,0.01
2020-10,57.38,42.28,0.24,0.05,0.03,0,0.01,0
2020-11,57.08,42.57,0.24,0.05,0.05,0,0.01,0
2020-12,57.56,42.12,0.22,0.03,0.05,0,0.01,0
