"Date","Android","iOS","Samsung","Windows","Unknown","Series 40","Playstation","Nokia Unknown","Linux","Other"
2020-01,91.29,8.15,0.11,0.26,0.04,0.05,0.04,0.03,0.02,0.02
2020-02,90.57,8.79,0.1,0.36,0.07,0.05,0.04,0.02,0.01,0.01
2020-03,90.51,9.1,0.11,0.19,0.02,0,0.04,0,0.01,0.01
2020-04,89.23,10.14,0.24,0.14,0.04,0.03,0.14,0.01,0.01,0.02
2020-05,89.32,10.29,0.12,0.03,0.1,0.07,0.03,0.01,0.01,0.02
2020-06,88.57,10.99,0.2,0.03,0.11,0.05,0.02,0.01,0.01,0.02
2020-07,90.77,8.84,0.15,0.03,0.12,0.06,0.02,0.01,0.01,0.01
2020-08,90.72,8.93,0.14,0.02,0.1,0.03,0.02,0.01,0.01,0.02
2020-09,91.15,8.43,0.17,0.05,0.09,0.05,0.03,0.01,0.01,0.01
2020-10,90.58,9.06,0.21,0.02,0.07,0.02,0.02,0.01,0.01,0.01
2020-11,91.07,8.64,0.17,0.03,0.02,0.02,0.02,0.01,0.01,0.01
2020-12,91.76,7.93,0.18,0.03,0.04,0.02,0.02,0.01,0.01,0.01
