"Date","Android","iOS","Unknown","BlackBerry OS","Linux","SymbianOS","Windows","LG","Series 40","Samsung","Nokia Unknown","KaiOS","Firefox OS","Other"
2020-01,92.21,3.54,2.94,0.24,0.2,0.33,0.2,0.12,0.09,0.03,0.02,0.02,0.05,0.01
2020-02,92.51,4.82,1.88,0.21,0.11,0.08,0.12,0.11,0.05,0.03,0.01,0.02,0.04,0.01
2020-03,94.46,4.65,0.36,0.22,0.03,0,0.23,0,0.02,0,0,0.02,0,0
2020-04,93.3,4.94,1.25,0.26,0.07,0.02,0.05,0.01,0.03,0.01,0.03,0.02,0.01,0.01
2020-05,93.43,4.06,1.85,0.32,0.12,0.05,0.06,0.01,0.02,0.03,0.02,0.01,0,0.01
2020-06,93.74,4.48,1.25,0.23,0.11,0.02,0.05,0.02,0.03,0.02,0.02,0.01,0,0
2020-07,93.04,4.21,2.12,0.27,0.11,0.04,0.04,0.04,0.05,0.05,0.01,0.01,0,0
2020-08,92.19,4.82,2.51,0.19,0.07,0.06,0.01,0.04,0.06,0.02,0.01,0.01,0,0
2020-09,90.17,5.15,4.08,0.15,0.12,0.11,0.02,0.09,0.03,0.07,0,0.01,0,0
2020-10,91.5,4.86,3.12,0.07,0.1,0.04,0.01,0.16,0.03,0.07,0.02,0.03,0,0
2020-11,92.63,4.29,2.73,0.01,0.09,0.04,0.02,0.07,0.01,0.07,0.02,0.01,0,0.01
2020-12,92.45,3.67,3.28,0.03,0.09,0.22,0.03,0.13,0.03,0.04,0.01,0.01,0,0
