"Date","Android","iOS","Unknown","Series 40","Linux","Nokia Unknown","BlackBerry OS","SymbianOS","Windows","KaiOS","Samsung","LG","Other"
2020-01,81.05,6.07,8.65,1.64,1.03,0.7,0.23,0.23,0.28,0.04,0.03,0.03,0.01
2020-02,84.23,7.28,5.43,0.97,1.01,0.39,0.19,0.14,0.26,0.04,0.02,0.02,0.01
2020-03,89,8.57,1.1,0.18,0.66,0.04,0.16,0.02,0.22,0.03,0.01,0,0.01
2020-04,85.89,9.17,3.42,0.45,0.45,0.22,0.12,0.06,0.13,0.03,0.02,0.01,0.02
2020-05,85.19,7.8,5.23,0.65,0.51,0.3,0.11,0.08,0.05,0.03,0.02,0.02,0.01
2020-06,85.98,7.51,4.73,0.6,0.55,0.28,0.14,0.08,0.04,0.04,0.02,0.02,0.01
2020-07,85.47,6.74,5.81,0.72,0.57,0.33,0.12,0.1,0.05,0.03,0.03,0.02,0.01
2020-08,85.41,6.41,6.12,0.78,0.57,0.34,0.12,0.1,0.05,0.03,0.03,0.02,0.01
2020-09,85.42,6.44,6.15,0.78,0.54,0.33,0.11,0.09,0.04,0.04,0.03,0.02,0.01
2020-10,84.98,6.97,6.09,0.74,0.64,0.28,0.09,0.08,0.03,0.04,0.03,0.02,0.01
2020-11,84.49,7.1,6.47,0.69,0.69,0.28,0.07,0.07,0.03,0.05,0.03,0.02,0.01
2020-12,85,6.93,6.25,0.71,0.56,0.28,0.07,0.07,0.03,0.05,0.03,0.02,0.01
