"Date","iOS","Android","Samsung","Windows","Unknown","BlackBerry OS","Other"
2020-01,52,47.75,0.11,0.06,0.03,0.02,0.04
2020-02,52.67,47.05,0.12,0.08,0.03,0.02,0.03
2020-03,54.62,45.16,0.11,0.04,0.03,0.02,0.03
2020-04,55.53,44.28,0.09,0.03,0.02,0.01,0.03
2020-05,52.49,47.31,0.12,0.02,0.02,0.02,0.03
2020-06,51.24,48.55,0.13,0.02,0.02,0.02,0.03
2020-07,52.24,47.53,0.13,0.02,0.02,0.02,0.04
2020-08,52.79,46.98,0.13,0.02,0.02,0.01,0.04
2020-09,53.55,46.23,0.13,0.02,0.02,0.01,0.04
2020-10,53.73,46.06,0.13,0.02,0.02,0.01,0.03
2020-11,55.59,44.2,0.14,0.02,0.02,0.01,0.03
2020-12,55.94,43.85,0.14,0.01,0.02,0.01,0.03
