"Date","Android","iOS","Samsung","Windows","Unknown","BlackBerry OS","Other"
2020-01,86.09,13.52,0.16,0.14,0.01,0.01,0.07
2020-02,85.83,13.84,0.16,0.13,0.01,0.01,0.02
2020-03,85.58,13.95,0.3,0.13,0.01,0.02,0.01
2020-04,86.61,13.11,0.13,0.11,0.01,0.02,0.01
2020-05,86.13,13.53,0.17,0.06,0.08,0.02,0.01
2020-06,86.63,13.17,0.12,0.05,0.01,0.01,0.01
2020-07,86.18,13.61,0.13,0.05,0.01,0.01,0.01
2020-08,83.95,15.8,0.17,0.05,0.01,0,0.01
2020-09,82.49,17.27,0.18,0.03,0.01,0.01,0.01
2020-10,82.52,17.27,0.15,0.03,0.01,0.02,0.01
2020-11,81.43,18.38,0.13,0.03,0.01,0.01,0.01
2020-12,80.98,18.79,0.18,0.03,0.01,0.01,0.01
