"Date","iOS","Android","Samsung","Windows","Unknown","Other"
2020-01,51.37,48.3,0.19,0.07,0.05,0.02
2020-02,51.47,48.2,0.2,0.06,0.04,0.03
2020-03,51.54,48.17,0.19,0.06,0.03,0.02
2020-04,51.57,48.15,0.2,0.04,0.03,0.01
2020-05,49.94,49.74,0.22,0.04,0.04,0.02
2020-06,48.91,50.73,0.25,0.04,0.04,0.03
2020-07,49.79,49.82,0.29,0.04,0.03,0.03
2020-08,50.19,49.39,0.33,0.04,0.03,0.03
2020-09,50.19,49.39,0.33,0.04,0.03,0.03
2020-10,51.49,48.13,0.31,0.04,0.02,0.02
2020-11,51.74,47.88,0.3,0.03,0.03,0.02
2020-12,51.49,48.15,0.28,0.03,0.03,0.02
