"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,88.89,10.95,0.07,0.06,0.01,0.02
2020-02,89.28,10.59,0.03,0.07,0.02,0.01
2020-03,88.09,11.79,0.03,0.06,0.02,0.01
2020-04,85.98,13.92,0.04,0.02,0.02,0.02
2020-05,84.55,15.39,0.03,0.01,0.01,0.02
2020-06,85.55,14.36,0.05,0.02,0.01,0.01
2020-07,85.99,13.9,0.07,0.02,0.01,0.01
2020-08,87.19,12.65,0.14,0,0,0.02
2020-09,86.95,12.25,0.79,0,0,0.01
2020-10,79.86,19.51,0.61,0,0.01,0.02
2020-11,80.97,18.48,0.52,0.01,0.01,0.01
2020-12,80.74,18.75,0.49,0,0,0.01
