"Date","Android","iOS","Nokia Unknown","Series 40","Windows","Unknown","KaiOS","Linux","Samsung","SymbianOS","BlackBerry OS","Other"
2020-01,94.61,3.74,0.85,0.24,0.21,0.15,0.01,0.02,0.06,0.07,0.03,0.01
2020-02,95.1,3.81,0.49,0.14,0.21,0.12,0.02,0.02,0.03,0.04,0.02,0.01
2020-03,95.57,4.08,0.04,0.02,0.15,0.04,0.03,0.02,0.02,0,0.02,0
2020-04,94.17,5.11,0.25,0.09,0.13,0.09,0.03,0.04,0.03,0.03,0.02,0.01
2020-05,93.67,5.5,0.35,0.11,0.06,0.11,0.05,0.05,0.04,0.03,0.02,0.01
2020-06,93.68,5.53,0.31,0.1,0.05,0.09,0.08,0.05,0.04,0.03,0.02,0.01
2020-07,93.76,5.41,0.33,0.1,0.04,0.09,0.12,0.05,0.04,0.03,0.01,0.01
2020-08,94.12,4.98,0.36,0.12,0.05,0.09,0.14,0.05,0.04,0.04,0.01,0.01
2020-09,94.83,4.5,0.28,0.08,0.03,0.07,0.1,0.05,0.03,0.02,0.01,0
2020-10,95.29,4.01,0.25,0.08,0.03,0.08,0.12,0.08,0.03,0.02,0.01,0
2020-11,95.26,3.99,0.24,0.07,0.03,0.07,0.12,0.17,0.03,0.02,0.01,0.01
2020-12,95.45,3.7,0.24,0.07,0.02,0.07,0.14,0.24,0.03,0.02,0.01,0.01
