"Date","Android","iOS","Samsung","Windows","Nokia Unknown","SymbianOS","Unknown","Other"
2020-01,88.83,10.89,0.08,0.02,0.07,0.03,0.02,0.05
2020-02,89.43,10.34,0.09,0.06,0.02,0.02,0.02,0.02
2020-03,86.83,12.99,0.15,0.02,0,0,0.01,0
2020-04,87.08,12.77,0.08,0.03,0,0,0.02,0.01
2020-05,88.5,11.34,0.05,0.03,0.01,0.02,0.02,0.03
2020-06,86.69,13.14,0.08,0.03,0.01,0.02,0.02,0.02
2020-07,86.02,13.83,0.09,0.02,0.01,0.02,0.01,0.01
2020-08,87.1,12.79,0.07,0.01,0.02,0.01,0.01,0.01
2020-09,90.91,8.98,0.06,0.01,0.02,0,0,0.01
2020-10,85.79,14.11,0.06,0,0.02,0.01,0,0.01
2020-11,87.86,12.02,0.08,0,0.01,0,0,0.01
2020-12,88.17,11.68,0.11,0,0.01,0.01,0,0.01
