"Date","Android","iOS","Samsung","Playstation","Unknown","Windows","KaiOS","Other"
2020-01,84.9,14.76,0.2,0.06,0.01,0.06,0,0.03
2020-02,85.36,14.34,0.18,0.05,0.02,0.03,0,0.02
2020-03,81.35,18.37,0.19,0.03,0.02,0.03,0.01,0
2020-04,82.83,16.85,0.2,0.02,0.03,0.03,0.02,0.02
2020-05,82.71,16.98,0.21,0.02,0.04,0,0.03,0.01
2020-06,83.86,15.86,0.2,0.02,0.02,0,0.02,0.01
2020-07,84.47,15.22,0.21,0.03,0.02,0.01,0.03,0.01
2020-08,84.63,15.11,0.19,0.02,0.01,0.01,0.01,0.01
2020-09,84.82,14.88,0.26,0.01,0,0,0.01,0.01
2020-10,85.2,14.53,0.22,0.03,0,0,0.01,0.01
2020-11,83.44,16.25,0.26,0.02,0.01,0,0.01,0.01
2020-12,83.86,15.86,0.23,0.02,0.01,0,0.01,0.01
