"Date","Android","iOS","SymbianOS","KaiOS","Windows","Unknown","Linux","Series 40","Samsung","LG","Nokia Unknown","BlackBerry OS","Other"
2020-01,95.13,3.99,0.16,0,0.12,0.13,0.08,0.25,0.02,0.05,0.05,0.02,0
2020-02,93.51,4.45,1.39,0.01,0.14,0.06,0.06,0.12,0.03,0.21,0.02,0.01,0
2020-03,95.08,4.13,0.52,0.03,0.14,0.03,0.03,0.04,0.01,0,0,0,0
2020-04,94.82,4.62,0,0.03,0.24,0.11,0.03,0.01,0.04,0.04,0.01,0,0.07
2020-05,94.25,5.29,0,0.04,0.17,0.07,0.11,0.02,0.01,0.02,0,0,0
2020-06,94.61,4.91,0,0.07,0.16,0.06,0.08,0.02,0.05,0.01,0.02,0,0
2020-07,94.48,4.98,0,0.07,0.22,0.08,0.07,0.01,0.03,0.01,0.03,0.03,0
2020-08,95.04,4.45,0,0.12,0.16,0.07,0.06,0.01,0.03,0,0,0.03,0
2020-09,94.82,4.52,0,0.26,0.11,0.08,0.11,0.02,0.03,0,0.03,0.02,0
2020-10,94.55,4.71,0.02,0.39,0.12,0.08,0.06,0.04,0.03,0,0.01,0,0
2020-11,94.5,5,0,0.31,0.01,0.06,0.04,0.01,0.05,0,0.01,0,0
2020-12,93.74,4.66,0,1.03,0.04,0.33,0.07,0.01,0.07,0.01,0.04,0,0
