"Date","Android","iOS","Samsung","Windows","Series 40","Unknown","Other"
2020-01,96,3.81,0.03,0.06,0.07,0.01,0.03
2020-02,95.79,4.09,0.03,0.03,0.03,0.01,0.02
2020-03,95.22,4.67,0.04,0.04,0,0.01,0.01
2020-04,95.05,4.86,0.04,0.02,0.01,0.01,0.01
2020-05,93.94,5.89,0.08,0.01,0.02,0.02,0.03
2020-06,93.05,6.72,0.14,0.02,0.01,0.03,0.03
2020-07,92.92,6.84,0.13,0.03,0.01,0.04,0.03
2020-08,93.76,5.97,0.17,0.02,0.02,0.03,0.02
2020-09,93.12,6.66,0.12,0.03,0.01,0.02,0.03
2020-10,92.65,7.17,0.1,0.01,0.02,0.02,0.03
2020-11,94.18,5.65,0.11,0,0.02,0.01,0.03
2020-12,94.2,5.64,0.1,0,0.01,0.01,0.03
