"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,90.85,8.17,0.67,0.19,0.05,0.07
2020-02,90.83,7.98,0.94,0.16,0.03,0.05
2020-03,90.22,8.52,1.06,0.16,0.01,0.03
2020-04,89.88,8.86,1.07,0.11,0.04,0.04
2020-05,90.16,8.76,0.97,0.04,0.03,0.04
2020-06,90.99,8.15,0.76,0.04,0.02,0.04
2020-07,91.05,8.24,0.61,0.04,0.02,0.04
2020-08,91.33,8.15,0.41,0.04,0.03,0.04
2020-09,91.58,8.01,0.3,0.04,0.03,0.04
2020-10,90.69,8.92,0.3,0.03,0.03,0.03
2020-11,91.51,8.09,0.32,0.03,0.02,0.03
2020-12,91.76,7.83,0.32,0.02,0.03,0.03
