"Date","Android","iOS","Samsung","Windows","Unknown","Playstation","Linux","Other"
2020-01,83.8,15.89,0.14,0.04,0.03,0.01,0.03,0.05
2020-02,83.86,15.86,0.15,0.05,0.02,0.01,0.02,0.03
2020-03,83.47,16.32,0.13,0.04,0.02,0.01,0,0.01
2020-04,84.24,15.53,0.14,0.04,0.02,0.01,0.01,0.02
2020-05,82.08,17.61,0.19,0.02,0.02,0.02,0.01,0.04
2020-06,83.41,16.33,0.18,0.01,0.02,0.02,0.01,0.03
2020-07,82.61,17.04,0.24,0.02,0.03,0.02,0.01,0.03
2020-08,83.66,15.93,0.3,0.02,0.03,0.02,0.01,0.03
2020-09,83.64,16.01,0.25,0.01,0.02,0.02,0.02,0.03
2020-10,85.22,14.43,0.26,0.01,0.02,0.02,0.02,0.02
2020-11,84.57,15.05,0.28,0.02,0.02,0.02,0.02,0.03
2020-12,86.44,13.17,0.3,0.02,0.02,0.01,0.01,0.02
