"Date","Android","iOS","Windows","Samsung","Series 40","Nokia Unknown","BlackBerry OS","Unknown","SymbianOS","Other"
2020-01,94.7,4.25,0.63,0.12,0.1,0.08,0.03,0.03,0.03,0.03
2020-02,94.76,4.34,0.61,0.1,0.06,0.05,0.03,0.02,0.02,0.03
2020-03,93.65,5.53,0.7,0.07,0,0,0.03,0,0,0.02
2020-04,93.72,5.61,0.4,0.09,0.08,0.04,0.02,0.01,0.01,0.02
2020-05,94.64,4.89,0.19,0.11,0.07,0.05,0.02,0.01,0.01,0.02
2020-06,94.99,4.55,0.19,0.09,0.07,0.05,0.02,0.01,0.01,0.02
2020-07,95.03,4.5,0.21,0.09,0.07,0.05,0.02,0.01,0.01,0.02
2020-08,94.87,4.63,0.19,0.1,0.08,0.06,0.02,0.01,0.02,0.02
2020-09,94.59,4.92,0.18,0.11,0.07,0.07,0.02,0.01,0.01,0.01
2020-10,92.49,6.99,0.19,0.12,0.08,0.07,0.01,0.02,0.01,0.01
2020-11,92.82,6.64,0.17,0.15,0.08,0.07,0.02,0.02,0.01,0.01
2020-12,92.98,6.51,0.15,0.15,0.08,0.06,0.01,0.02,0.02,0.02
