"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,77.84,21.86,0.11,0.14,0.02,0.04
2020-02,79.69,20.08,0.1,0.1,0.01,0.03
2020-03,78.78,20.98,0.13,0.08,0.01,0.01
2020-04,79.43,20.37,0.08,0.08,0.01,0.03
2020-05,76.78,23.02,0.11,0.05,0.01,0.03
2020-06,77.39,22.4,0.13,0.04,0.01,0.03
2020-07,78,21.82,0.12,0.03,0,0.02
2020-08,78.26,21.52,0.16,0.04,0.01,0.02
2020-09,77.42,22.34,0.15,0.04,0.01,0.04
2020-10,73.27,26.47,0.15,0.06,0.01,0.04
2020-11,72.44,27.24,0.16,0.05,0.02,0.08
2020-12,73.96,25.65,0.14,0.15,0.04,0.07
