"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,65.63,34.12,0.17,0.04,0.02,0.03
2020-02,64.68,35.15,0.12,0.02,0.01,0.02
2020-03,64.18,35.62,0.14,0.03,0.02,0.02
2020-04,64.38,35.35,0.19,0.01,0.03,0.04
2020-05,60.52,39.29,0.13,0.01,0.01,0.05
2020-06,60.2,39.6,0.18,0.01,0,0.01
2020-07,57.95,41.86,0.17,0,0,0.02
2020-08,56.2,43.6,0.17,0.01,0,0.01
2020-09,55.77,44,0.19,0.01,0,0.03
2020-10,56.6,43.13,0.25,0.01,0,0.01
2020-11,55.78,43.88,0.32,0,0,0.01
2020-12,55.62,43.96,0.39,0.01,0.01,0.01
